# Emoji suggestion keywords, generated by tools/generate_emoji_keywords.py
# from Unicode CLDR emoji annotations (English).
# Data (c) Unicode, Inc. - https://www.unicode.org/copyright.html
# License: https://www.unicode.org/license.txt
# Format: keyword<TAB>emoji,emoji,... (best suggestion first).
# Hand-tuned aliases (e.g. 'taking off', 'lol') are merged into the
# table by the generator's ALIASES dict — edit there and regenerate.
ab	🆎
abacus	🧮
abc	🔤
abcd	🔠,🔡
absentminded	😶‍🌫
absolutely	👊
absorbing	🧽
acceptable	🉑
accessibility	🦾,🦿,🦻,🧏,🧏‍♂,🧏‍♀,🧑‍🦯,👨‍🦯,👩‍🦯,🧑‍🦼,👨‍🦼,👩‍🦼,🧑‍🦽,👨‍🦽,👩‍🦽,🦮,🐕‍🦺,🦽,🦼,🦯,🛗
accident	🫗
accordion	🪗
accounting	🧾
acidity	🍋‍🟩
act	🤹,🤹‍♂,🤹‍♀
action	🎬
active	🤸,🤸‍♂,🤸‍♀
actor	🎭,🧑‍🎤,👨‍🎤,👩‍🎤
actress	🎭
address	📢
adhesive	🩹
admiration	🥹
admission	🎫,🎟️
adorable	🩷
adorbs	😘,🐶,💘,💞
adore	🥰
adult	👩,🧑,👨,👵,🧓,👴,🧑‍🧑‍🧒,🧑‍🧑‍🧒‍🧒,🧑‍🧒,🧑‍🧒‍🧒
aerial	🚡
aeroplane	✈️,🛫,🛬,🛩
af	🔥
afraid	😨
africa	🌍
afro	🦱,🪮
again	🤦,🤦‍♂,🤦‍♀,🔄
age	🔞
agree	👊,💯
agreement	🤝
aid	🦻,🩼
air	🪟
airplane	✈️,🛫,🛬,🛩
alarm	🚨,⏰
alces	🫎
alcohol	🍺,🍷,🍸,🍹,🍻
ale	🍺
alert	🚨
alien	👽,👾
aliens	🛸,📡
almond	🌰
alpaca	🦙
alpha	🦁
alphabet	🔤
amazed	😳
amazement	🫢
amble	🚶,🚶‍♂,🚶‍♀
ambulance	🚑
american	🏈
americas	🌎
amoeba	🦠
amount	🤏,🈷
amphora	🏺
amulet	🧿,🪬
amusement	🎡,🎢,🛝
anatomical	🫀
anchor	⚓,🔱
and	🏹,🫢,🫰,👫,🍽,🍴,🛠,🔩,🛋
angel	😇,👼
angelic	😇,🪽
angels	😇
anger	😤,😡,😠,💢,🗯
angle	📏,📐
angry	😤,😡,😠,👿,👺,💢,🗯
anguished	😧
animal	🐻,🐶,🐱,🐭,🐹,🐰,🦊,🐼,🐨,🐯,🦁,🐮,🐷,🐸,🐵,🐔,🐧,🐦,🦆,🦅,🦉,🦇,🐺,🐗,🐴,🐝,🐛,🐌,🐞,🐜,🐢,🐍,🦎,🐙,🦑,🐡,🐠,🐟,🐬,🐳,🐋,🦈,🐊,🐘,🦒,🦘,🐎,🐖,🐑,🐐,🦌,🐕,🐈,🐇,🐿️,🦔,😺,😸,😹,😻,😼,😽,🙀,😿,😾,🙉,🙊,🐒,🦍,🦧,🦮,🐕‍🦺,🐩,🦝,🐈‍⬛,🐅,🐆,🫎,🫏,🦓,🦬,🐂,🐃,🐄,🐽,🐏,🐪,🐫,🦙,🦣,🦏,🦛,🐁,🐀,🦫,🐻‍❄,🦦,🦨,🦡,🐓,🐣,🐤,🐥,🦢,🦤,🦩,🦚,🦜,🐦‍⬛,🪿,🐲,🐉,🦭,🐚,🪼,🦞,🪲,🦗,🪳,🕷,🪰,🪱
animals	🐕,🐈,🐂,🐄,🐁
ankle	🦶
annelid	🪱
anniversary	💐,💝,💞,💕,💏,💑
annoyed	😖,🙍,🙍‍♂,🙍‍♀
answer	🟰
ant	🐜
antarctica	🐧
antenna	📡,📶
anticlockwise	🔄
antlers	🫎
anxiety	🫪
anxious	😟,😨,😰,😥,🫦
ape	🦧
apocalypse	🧟,🧟‍♂,🧟‍♀
apology	🙇,🙇‍♂,🙇‍♀
applause	👏
apple	🍏,🍎,🥧
application	🈸
appreciate	🙏
apprehend	👮,👮‍♂,👮‍♀
approval	👏
aquarium	🪼
aquarius	🏺
archer	🏹
archery	🏹
architect	🧑‍💼,👨‍💼,👩‍💼
arctic	🐻‍❄
arepa	🫓
argument	🫯
aries	🐏
arm	💪,🦾
army	🪖
arrest	👮,👮‍♂,👮‍♀
arrival	🛬
arrivals	🛬
arrived	🚆,🚈,🛄
arriving	🛬
arrow	🏹,💘,📲,📩,🔃,🔄,🔙,🔚,🔛,🔜,🔝,🔀,🔁,🔂,🔼,🔽
arrows	🔃,🔄
art	🎭,🎨,🖼
articulated	🚛
artist	🎨,🧑‍🎨,👨‍🎨,👩‍🎨
arts	🥋,🎭
artsy	🎨
arty	🎨
ascend	🪽,🐦‍🔥
ascension	🐦‍🔥
asia	🌏
ask	🙏,🙇,🙇‍♂,🙇‍♀
ass	🫏
assassin	🥷
assembly	🧑‍🏭,👨‍🏭,👩‍🏭
assistance	🐕‍🦺
astonished	😲
astronaut	🧑‍🚀,👨‍🚀,👩‍🚀
astronomy	⭐
at	🫵,🌆,🌉
athletic	⛹️,👟
athletics	🎽,🤾,🤾‍♂,🤾‍♀
atm	🏧
attraction	🧲
aubergine	🍆
australia	🐨,🌏
auto	🛺
automated	🏧
automobile	🚗,🛻,🚘
autumn	🍂,🥮
avalanche	🛘
aviation	🪽
avocado	🥑
award	🏅,🎖️
away	💨
awe	🫢
awesome	😃,😎,👌,👏,🎉,😛
awful	😔,😢,😞
awk	😬
awkward	😐,😑,😶,😬,😳
aww	🥹
ax	🪓
axe	🪓
baa	🐑
babe	💏,💑
babies	👶,🍼
babooshka	🪆
baboushka	🪆
babushka	🪆
baby	👶,🤱,👼,👩‍🍼,👨‍🍼,🧑‍🍼,🐣,🐤,🐥,🍼,🚼
back	🤚,🥹,🚪,🔙
backhand	🤚,👈,👉,👆,👇
backpack	🎒
backpacking	🎒,🥾
bacon	🐷,🐖,🥓
bacteria	🦠,🧫
bactrian	🐫
bad	👎,🦹,🦹‍♂,🦹‍♀
badge	📛
badger	🦡
badminton	🏸
bae	😍,😘,😚,🧑‍🤝‍🧑,👭,👫,👬,💏,💑
bag	💰,🧳,👜,👝,🛍,🎒
bagel	🥯
baggage	🛄,🛅
bags	🫩,🛍,🛄
baguette	🥖
bait	🪤
bakery	🧁,🥯
balance	🤹,🤹‍♂,🤹‍♀
balancing	🤹,🤹‍♂,🤹‍♀
bald	👴,🦲
ball	🍙,⚽,🏀,🏈,⚾,🥎,🎾,🏐,🏉,🎱,🏓,🥍,🏏,⛹️,🤾,🏌️,🎳,🏌‍♂,🏌‍♀,🤾‍♂,🤾‍♀,🎊,🏑,🔮,🪩,🧶
ballet	🩰,🧑‍🩰,🥿
balloon	🎈,💬,👁‍🗨,🗨,🗯,💭
ballot	🗳
ballpoint	🖊️
bamboo	🐼,🎍
banana	🐵,🍌,🐒
band	🪈
bandage	🤕,🩹
bandana	🧕
banjo	🪕
bank	💰,🏦,💴,💵,💶,💷,💸,💳,💹,🏧,💱
banknote	💴,💵,💶,💷,💸
banner	🎋
bar	🍫,🍺,🍶,🍾,🍷,🍸,🍹,🍻,🏮,📊,🧼,📶
barbell	🏋️,🏋‍♂,🏋‍♀
barber	💇,💇‍♂,💇‍♀,💈
bare	🪾
barefoot	👣
barf	🤮
bargain	🉐
barrel	🍯
barren	🪾
barrier	🚧
bars	📶
baseball	⚾,🧢
basket	🧺
basketball	🏀,⛹️
bat	🦇,🏓,🏏
bath	🛀,🛁
bathing	🩱,🩲,🩳,👙,🧼
bathroom	🚽,🪥,🚹,🚺,🚻,🚾
bathtub	🛀,🛁
battery	🔋,🪫
bawling	😭
bday	🥳,🎂
beach	🏖️,🏝️,😎,🐬,🐳,🐋,🌴,🏄,🏄‍♂,🏄‍♀,🐚,🌞,👙,🩴
beacon	🚨
bead	🧿
beads	📿
beak	🐦‍⬛
beaming	😁
beans	🫘,🫛
beanstalk	🫛
bear	🐻,🐨,🐻‍❄,🍯,🧸
beard	🧔,🧔‍♂,🧔‍♀
bearded	🧔,🧔‍♂,🧔‍♀
bearer	🐍
beast	💪
beat	🫀,🪘
beating	💓
beauty	🌹,👄,💇,💇‍♂,💇‍♀,🪷
beaver	🦫
beckon	🫴
bed	😴,🛌,🛏
bedtime	😴,🥱,🛌
bee	🐝
beer	🍺,🍻,🫚
beet	🫜
beetle	🐞,🪲
befuddled	😕
beg	🙏,🙇,🙇‍♂,🙇‍♀
begging	🥺
beginner	🔰
behind	🌤,🌥,🌦
believe	😮
bell	🫑,🛎,🎐,🔔,🔕
bellhop	🛎
belly	🫃,🫄
bench	💪
bent	🦵,🧢
bento	🍱
berries	🫐,🍒
berry	🍓,🫐
bestest	💜
bestie	👯,👯‍♂,👯‍♀,🧑‍🤝‍🧑,👭,👫,👬
bet	👌,💰
beverage	☕,🍵,🧃,🍶,🍷
bewilder	🤦,🤦‍♂,🤦‍♀
bff	👯,👯‍♂,👯‍♀,🧑‍🤝‍🧑,👭,👫,👬,👥
biceps	💪
bicycle	🚵,🚴,🚲,🚴‍♂,🚴‍♀,🚵‍♂,🚵‍♀,🚳
bicycles	🚳
bicyclist	🚵,🚴,🚴‍♂,🚴‍♀,🚵‍♂,🚵‍♀
big	😃,🥺,🐯,🐅,🐆
bigfoot	🫈
bike	🚵,🚴,🚲,🚴‍♂,🚴‍♀,🚵‍♂,🚵‍♀,🔐,🚳
biking	🚵,🚴,🚴‍♂,🚴‍♀,🚵‍♂,🚵‍♀
bikini	👙
bilberry	🫐
bill	💴,💵,💶,💷,💸
billed	🧢
billiard	🎱
billion	💰,💷,💸,💲
billionaire	🚤
bin	🚮
biologist	🧑‍🔬,👨‍🔬,👩‍🔬,🧫,🧬
biology	🧫
bird	🐔,🐧,🐦,🦆,🦅,🦉,🦃,🐓,🐣,🐤,🐥,🕊,🦢,🦤,🪶,🦩,🦚,🦜,🪽,🐦‍⬛,🪿,🪺
birdie	🏸,🏌️,🏌‍♂,🏌‍♀
birth	🍼
birthday	🎂,🎉,🥳,🎈,💐,🎁
bisexual	🏳‍🌈
bison	🦬
bisque	🦞
bit	🤏
bite	🫦,🦟
biting	🫦
black	🖤,🐈‍⬛,🐦‍⬛,🔲,🏴
blades	🛼
blame	😨,😞,😠
blank	😐,😶
bleed	🩸
blessed	😇,🙏
blind	🧑‍🦯,👨‍🦯,👩‍🦯,🦮,🦯
bloated	🫪,🫃,🫄
block	🫷,🫸
blond	👱,👱‍♂,👱‍♀
blonde	👱‍♀
blood	🧛,🧛‍♂,🧛‍♀,🩸,🅰,🆎,🅱,🅾
bloom	🪻
blossom	🌷,🌸,🌼
blouse	👚
